method;seed;energy_efficiency_gb_per_j;link_failures;total_handovers;pingpong_handovers
NC;44642;0.02752323866608609;0;94718;63933
SBD;44643;0.2056584795765919;0;101710;67445
P-ES;44644;0.09362546153818939;1;80083;54441
P-MRO;44645;0.02433633999071636;0;92818;59717
QACM;44646;0.09931794253186668;1;87208;57706
NC;44542;0.024475550002614574;0;94438;62566
SBD;44543;0.1831749996109574;0;90646;62075
P-ES;44544;0.08054896678979069;2;96592;63893
P-MRO;44545;0.021724799213814525;0;94394;63853
QACM;44546;0.1021116095222965;0;92631;61024
NC;44742;0.03104972584065798;1;100096;67069
SBD;44743;0.20977393670157188;0;89719;59701
P-ES;44744;0.09737741473907963;0;103155;68190
P-MRO;44745;0.021371801193061382;0;101404;63921
QACM;44746;0.099441117856459;0;90068;59575
NC;44942;0.02582023342510241;0;93796;63286
SBD;44943;0.1748933849980784;0;91911;62210
P-ES;44944;0.09713601077212829;1;88847;59094
P-MRO;44945;0.023439171686950328;0;90084;58412
QACM;44946;0.09779834843056237;0;92286;61876
NC;45042;0.02733422232800332;0;98605;66385
SBD;45043;0.1864209261763015;0;98697;62038
P-ES;45044;0.08910414816595984;1;100386;67649
P-MRO;45045;0.02136655477377058;0;90663;59997
QACM;45046;0.10253660127810753;1;99745;64515
NC;44842;0.026129713258875604;0;93027;63833
SBD;44843;0.20461372318523546;0;91012;58855
P-ES;44844;0.10113792619881089;0;96657;63546
P-MRO;44845;0.020594542383665856;0;89916;58417
QACM;44846;0.0977120055520013;1;83827;55874
NC;45142;0.02569003544009819;0;93933;63380
SBD;45143;0.17903933326753;0;93104;57763
P-ES;45144;0.0938410056050923;0;91747;62080
P-MRO;45145;0.019106556323476343;0;88257;59009
QACM;45146;0.1012739142442007;2;85368;54970
NC;45242;0.027974898193432966;0;99595;67162
SBD;45243;0.22262762028920174;0;87848;58265
P-ES;45244;0.10012576351291178;0;96022;64029
P-MRO;45245;0.02258254647678959;0;90988;59183
QACM;45246;0.10428611309029284;1;94546;64027
NC;45342;0.028042565523538582;0;99928;67093
SBD;45343;0.2262557342533795;0;88349;58837
P-ES;45344;0.1004511839061441;0;96841;64983
P-MRO;45345;0.0221343428544938;0;82846;55796
QACM;45346;0.09919662194885524;0;97007;63430
NC;45442;0.028994024678547538;0;88752;60038
SBD;45443;0.19919838907179072;0;87001;58190
P-ES;45444;0.09856984171745863;0;99921;66931
P-MRO;45445;0.02234801199666333;0;93739;63004
QACM;45446;0.09359845086818479;0;95637;64016
NC;45542;0.026670381289304535;0;95824;65139
SBD;45543;0.20383951670329148;0;92548;60900
P-ES;45544;0.0950623210435956;1;88951;59201
P-MRO;45545;0.019306984824458504;0;93276;61663
QACM;45546;0.09353519226311419;0;90174;60542
NC;45742;0.02403389013453893;0;90887;61795
SBD;45743;0.19210134998751782;0;89559;58300
P-ES;45744;0.09339467279971517;0;95249;63437
P-MRO;45745;0.024102471560314063;0;91050;59117
QACM;45746;0.08610408621031139;0;94672;61608
NC;45642;0.027574749492265255;0;93714;62835
SBD;45643;0.19291632832510722;0;87921;57744
P-ES;45644;0.09876990350882688;0;99778;64426
P-MRO;45645;0.023181937989743193;0;96659;63358
QACM;45646;0.08855904294678295;1;88719;59027
NC;45842;0.02469852860164916;1;92709;62098
SBD;45843;0.20857269521966412;0;79518;53217
P-ES;45844;0.10413889970043488;0;84847;57026
P-MRO;45845;0.021782573336020936;0;94499;59055
QACM;45846;0.08894835743016173;1;96995;65161
NC;45942;0.0260564177025984;0;93077;63290
SBD;45943;0.20394603199087022;0;97023;64636
P-ES;45944;0.09592317938915265;0;94731;65344
P-MRO;45945;0.02105609737065353;0;93937;62547
QACM;45946;0.08971880921884343;2;95184;62731
NC;46142;0.023859875891936243;0;95781;63954
SBD;46143;0.2132168676587309;0;95771;62138
P-ES;46144;0.09650695368817445;2;85827;56457
P-MRO;46145;0.023036304004307496;0;96909;60836
QACM;46146;0.09834041324893776;0;98239;63710
NC;46342;0.028333237499045493;1;92913;63769
SBD;46343;0.18545094635436807;0;87024;59414
P-ES;46344;0.0946663303956441;0;91221;60565
P-MRO;46345;0.024124656769861284;0;86099;57748
QACM;46346;0.08962058608950021;1;86891;60420
NC;46242;0.0267150530524178;0;87159;59464
SBD;46243;0.200308954475897;0;90490;60992
P-ES;46244;0.09089117775230535;1;94543;64302
P-MRO;46245;0.022057586313573123;0;92543;61095
QACM;46246;0.09928789102330636;0;88346;58409
NC;46042;0.02549508921788599;0;88380;57069
SBD;46043;0.1975229660283115;0;92406;59444
P-ES;46044;0.09985350726310044;0;92079;61802
P-MRO;46045;0.02145698788988065;0;83166;55823
QACM;46046;0.10330381497828946;0;99624;66943
NC;46442;0.02499812572646717;0;96221;64240
SBD;46443;0.20624280307406564;0;88300;58719
P-ES;46444;0.09422689174662788;0;87115;55935
P-MRO;46445;0.023746225413409615;0;100179;65231
QACM;46446;0.09459175317416839;1;94749;63829
NC;46542;0.02840276414137483;0;88122;58276
SBD;46543;0.20096866799925844;0;94677;62822
P-ES;46544;0.0914460295695011;0;103036;68756
P-MRO;46545;0.021607196700350332;0;91383;62179
QACM;46546;0.09912700500712714;0;90383;60820
NC;46642;0.027638922511137344;0;85094;57088
SBD;46643;0.2067874778195873;0;89740;60012
P-ES;46644;0.09799192811343506;0;88982;60134
P-MRO;46645;0.02277006342637157;0;85795;55728
QACM;46646;0.10475783593690581;1;99809;65076
NC;46742;0.02479602699661145;0;92427;61543
SBD;46743;0.21904150806211423;0;96369;62891
P-ES;46744;0.10216424682514703;0;93463;62062
P-MRO;46745;0.023676126437679607;0;97178;64169
QACM;46746;0.09558358066573366;0;87382;58519
NC;46842;0.027759157144998617;0;94361;62013
SBD;46843;0.19823832421990076;0;100666;65675
P-ES;46844;0.09219824074710933;0;96175;62545
P-MRO;46845;0.02142475019104151;0;87251;57891
QACM;46846;0.10101725968005047;0;97420;64901
NC;46942;0.025412228428360193;1;91875;61484
SBD;46943;0.19145335307375835;0;85847;56947
P-ES;46944;0.09874146595004762;0;83190;55266
P-MRO;46945;0.021509339847019242;0;96808;65132
QACM;46946;0.08938077315255429;0;86593;58245
NC;47042;0.02558319955515139;0;87245;56850
SBD;47043;0.2173253648396481;0;87192;59019
P-ES;47044;0.09703711083989941;1;97592;63594
P-MRO;47045;0.021290280160920792;0;96447;64152
QACM;47046;0.10017312453476096;0;98721;65153
NC;47142;0.026731346437190367;0;91669;60649
SBD;47143;0.1926711940173073;0;93767;63291
P-ES;47144;0.10144541830220728;0;96097;62393
P-MRO;47145;0.024076335476847625;0;95226;62654
