time,current bs,availability,cio,hyst,ttt
346.0,6,0.991,0.0,1.0,0.08
347.0,6,0.991,0.0,1.0,0.08
348.0,6,0.991,0.0,1.0,0.08
349.0,6,0.991,0.0,1.0,0.08
350.0,6,1.0,0.0,1.0,0.08
351.0,6,1.0,0.0,1.0,0.08
352.0,6,1.0,0.0,1.0,0.08
353.0,6,1.0,0.0,1.0,0.08
354.0,6,1.0,0.0,1.0,0.08
355.0,6,1.0,0.0,1.0,0.08
356.0,6,1.0,0.0,1.0,0.08
357.0,6,1.0,0.0,1.0,0.08
358.0,6,1.0,0.0,1.0,0.08
359.0,6,1.0,0.0,1.0,0.08
360.0,6,1.0,0.0,1.0,0.08
361.0,6,1.0,0.0,1.0,0.08
362.0,6,1.0,0.0,1.0,0.08
363.0,6,1.0,0.0,1.0,0.08
364.0,6,1.0,0.0,1.0,0.08
365.0,6,1.0,0.0,1.0,0.08
366.0,6,1.0,0.0,1.0,0.08
367.0,6,1.0,0.0,1.0,0.08
368.0,6,1.0,0.0,1.0,0.08
369.0,6,1.0,0.0,1.0,0.08
370.0,6,1.0,0.0,1.0,0.08
371.0,6,1.0,0.0,1.0,0.08
372.0,6,1.0,0.0,1.0,0.08
373.0,6,1.0,0.0,1.0,0.08
374.0,6,1.0,0.0,1.0,0.08
375.0,6,1.0,0.0,1.0,0.08
376.0,6,1.0,0.0,1.0,0.08
377.0,6,1.0,0.0,1.0,0.08
378.0,6,1.0,0.0,1.0,0.08
379.0,6,1.0,0.0,1.0,0.08
380.0,6,1.0,0.0,1.0,0.08
381.0,6,1.0,0.0,1.0,0.08
382.0,6,1.0,0.0,1.0,0.08
383.0,6,1.0,0.0,1.0,0.08
384.0,6,1.0,0.0,1.0,0.08
385.0,6,1.0,0.0,1.0,0.08
386.0,6,1.0,0.0,1.0,0.08
387.0,6,1.0,0.0,1.0,0.08
388.0,6,1.0,0.0,1.0,0.08
389.0,6,1.0,0.0,1.0,0.08
390.0,6,1.0,0.0,1.0,0.08
391.0,6,1.0,0.0,1.0,0.08
392.0,6,1.0,0.0,1.0,0.08
393.0,6,1.0,0.0,1.0,0.08
394.0,6,1.0,0.0,1.0,0.08
395.0,6,1.0,0.0,1.0,0.08
396.0,6,1.0,0.0,1.0,0.08
397.0,6,1.0,0.0,1.0,0.08
398.0,6,1.0,0.0,1.0,0.08
399.0,6,1.0,0.0,1.0,0.08
400.0,6,1.0,0.0,1.0,0.08
401.0,6,1.0,0.0,1.0,0.08
402.0,6,1.0,0.0,1.0,0.08
403.0,6,1.0,0.0,1.0,0.08
404.0,6,1.0,0.0,1.0,0.08
405.0,6,1.0,0.0,1.0,0.08
406.0,6,1.0,0.0,1.0,0.08
407.0,6,1.0,0.0,1.0,0.08
408.0,6,1.0,0.0,1.0,0.08
409.0,6,1.0,0.0,1.0,0.08
410.0,6,1.0,0.0,1.0,0.08
411.0,6,1.0,0.0,1.0,0.08
412.0,6,1.0,0.0,1.0,0.08
413.0,6,1.0,0.0,1.0,0.08
414.0,6,1.0,0.0,1.0,0.08
415.0,6,1.0,0.0,1.0,0.08
416.0,6,1.0,0.0,1.0,0.08
417.0,6,1.0,0.0,1.0,0.08
418.0,6,1.0,0.0,1.0,0.08
419.0,6,1.0,0.0,1.0,0.08
420.0,6,1.0,0.0,1.0,0.08
421.0,6,1.0,0.0,1.0,0.08
422.0,6,1.0,0.0,1.0,0.08
423.0,6,1.0,0.0,1.0,0.08
424.0,6,1.0,0.0,1.0,0.08
425.0,6,1.0,0.0,1.0,0.08
426.0,6,0.955,0.0,1.0,0.08
427.0,6,0.955,0.0,1.0,0.08
428.0,6,0.955,0.0,1.0,0.08
429.0,6,0.955,0.0,1.0,0.08
430.0,6,0.955,0.0,1.0,0.08
431.0,6,0.955,0.0,1.0,0.08
432.0,6,0.955,0.0,1.0,0.08
433.0,6,0.955,0.0,1.0,0.08
434.0,6,0.955,0.0,1.0,0.08
435.0,6,0.955,0.0,1.0,0.08
436.0,6,0.955,0.0,1.0,0.08
437.0,6,0.955,0.0,1.0,0.08
438.0,6,0.955,0.0,1.0,0.08
439.0,6,0.955,0.0,1.0,0.08
440.0,6,0.955,0.0,1.0,0.08
441.0,6,0.955,0.0,1.0,0.08
442.0,6,0.955,0.0,1.0,0.08
443.0,6,0.955,0.0,1.0,0.08
444.0,6,0.955,0.0,1.0,0.08
445.0,6,0.955,0.0,1.0,0.08
446.0,6,0.955,0.0,1.0,0.08
447.0,6,0.955,0.0,1.0,0.08
448.0,6,0.955,0.0,1.0,0.08
449.0,6,0.955,0.0,1.0,0.08
450.0,6,0.955,0.0,1.0,0.08
451.0,6,1.0,0.0,1.0,0.08
452.0,6,1.0,0.0,1.0,0.08
453.0,6,1.0,0.0,1.0,0.08
454.0,6,1.0,0.0,1.0,0.08
455.0,6,1.0,0.0,1.0,0.08
456.0,6,1.0,0.0,1.0,0.08
457.0,6,1.0,0.0,1.0,0.08
458.0,6,1.0,0.0,1.0,0.08
459.0,6,1.0,0.0,1.0,0.08
460.0,6,1.0,0.0,1.0,0.08
461.0,6,1.0,0.0,1.0,0.08
462.0,6,1.0,0.0,1.0,0.08
463.0,6,1.0,0.0,1.0,0.08
464.0,6,1.0,0.0,1.0,0.08
465.0,6,1.0,0.0,1.0,0.08
466.0,6,1.0,0.0,1.0,0.08
467.0,6,1.0,0.0,1.0,0.08
468.0,6,1.0,0.0,1.0,0.08
469.0,6,1.0,0.0,1.0,0.08
470.0,6,1.0,0.0,1.0,0.08
471.0,6,1.0,0.0,1.0,0.08
472.0,6,1.0,0.0,1.0,0.08
473.0,6,1.0,0.0,1.0,0.08
474.0,6,1.0,0.0,1.0,0.08
475.0,6,1.0,0.0,1.0,0.08
476.0,6,1.0,0.0,1.0,0.08
477.0,6,1.0,0.0,1.0,0.08
478.0,6,1.0,0.0,1.0,0.08
479.0,6,1.0,0.0,1.0,0.08
480.0,6,1.0,0.0,1.0,0.08
481.0,6,1.0,0.0,1.0,0.08
482.0,6,1.0,0.0,1.0,0.08
483.0,6,1.0,0.0,1.0,0.08
484.0,6,1.0,0.0,1.0,0.08
485.0,6,1.0,0.0,1.0,0.08
486.0,6,1.0,0.0,1.0,0.08
487.0,6,1.0,0.0,1.0,0.08
488.0,6,1.0,0.0,1.0,0.08
489.0,6,1.0,0.0,1.0,0.08
490.0,6,1.0,0.0,1.0,0.08
491.0,6,1.0,0.0,1.0,0.08
492.0,6,1.0,0.0,1.0,0.08
493.0,6,1.0,0.0,1.0,0.08
494.0,6,1.0,0.0,1.0,0.08
495.0,6,1.0,0.0,1.0,0.08
496.0,6,1.0,0.0,1.0,0.08
497.0,6,1.0,0.0,1.0,0.08
498.0,6,1.0,0.0,1.0,0.08
499.0,6,1.0,0.0,1.0,0.08
500.0,6,1.0,0.0,1.0,0.08
501.0,6,1.0,0.0,1.0,0.08
502.0,6,1.0,0.0,1.0,0.08
503.0,6,1.0,0.0,1.0,0.08
504.0,6,1.0,0.0,1.0,0.08
505.0,6,1.0,0.0,1.0,0.08
506.0,6,1.0,0.0,1.0,0.08
507.0,6,1.0,0.0,1.0,0.08
508.0,6,1.0,0.0,1.0,0.08
509.0,6,1.0,0.0,1.0,0.08
510.0,6,1.0,0.0,1.0,0.08
511.0,6,1.0,0.0,1.0,0.08
512.0,6,1.0,0.0,1.0,0.08
513.0,6,1.0,0.0,1.0,0.08
514.0,6,1.0,0.0,1.0,0.08
515.0,6,1.0,0.0,1.0,0.08
516.0,6,1.0,0.0,1.0,0.08
517.0,6,1.0,0.0,1.0,0.08
518.0,6,1.0,0.0,1.0,0.08
519.0,6,1.0,0.0,1.0,0.08
520.0,6,1.0,0.0,1.0,0.08
521.0,6,1.0,0.0,1.0,0.08
522.0,6,1.0,0.0,1.0,0.08
523.0,6,1.0,0.0,1.0,0.08
524.0,6,1.0,0.0,1.0,0.08
525.0,6,1.0,0.0,1.0,0.08
526.0,6,1.0,0.0,1.0,0.08
527.0,6,1.0,0.0,1.0,0.08
528.0,6,1.0,0.0,1.0,0.08
529.0,6,1.0,0.0,1.0,0.08
530.0,6,1.0,0.0,1.0,0.08
531.0,6,1.0,0.0,1.0,0.08
532.0,6,1.0,0.0,1.0,0.08
533.0,6,1.0,0.0,1.0,0.08
534.0,6,1.0,0.0,1.0,0.08
535.0,6,1.0,0.0,1.0,0.08
536.0,6,1.0,0.0,1.0,0.08
537.0,6,1.0,0.0,1.0,0.08
538.0,6,1.0,0.0,1.0,0.08
539.0,6,1.0,0.0,1.0,0.08
540.0,6,1.0,0.0,1.0,0.08
541.0,6,1.0,0.0,1.0,0.08
542.0,6,1.0,0.0,1.0,0.08
543.0,6,1.0,0.0,1.0,0.08
544.0,6,1.0,0.0,1.0,0.08
545.0,6,1.0,0.0,1.0,0.08
546.0,6,1.0,0.0,1.0,0.08
547.0,6,1.0,0.0,1.0,0.08
548.0,6,1.0,0.0,1.0,0.08
549.0,6,1.0,0.0,1.0,0.08
